text,label
"nos parecio un poco excesivo que cobraban el servicio de aire ( 0,50 € ) para inflar colchonetas , flotadores , etc .... conexión a internet : 2,5 € ( carísimo ) .",3
"desayunos normales , con bollería , cereales y sin fruta natural .",3
"sobretodo por el trato del personal , el estado de los sanitarios ( mientras te duchas te saludan las hormigas ) y los bungalow de plástico , con lo que el calor de las 8 de la mañana te hace levantarte sudado .",3
"por poner un pero , no tiene parking y tienes que dejar el coche en un parking proximo a unos 300 m3tros del hotel .",3
jutito para ser un 4 estrellas,3
"en mas de 15 anos que llevo viajando con esta cadena , el hotel en el que ha fallado mas el trato , la limpieza y los detalles ha sido , sin duda , este hotel .",3
"el desayuno no es gran cosa , y la comida no es del tipo casero .",3
gestión nefasta,3
lo vi demasiado sencillo para un mercure .,3
"soy cliente de esta cadena 16 años siempre estado muy contenta pero este año no al llegar ala habitación el suelo estaba sucio el mando de la cama estropeado lo comente en recepción no vino nadie , el minibar no era como el año anterior ni el regalo por ser cliente cava y spa este año solo una a elegir ni el albornoz en la habitación para ir spa como el año anterior . ?",3
difícil de encontrar aparcamiento en alrededores .,3
hotel alejado del centro,3
"el lounge bar y el bar de la piscina chill out está cerrado , no hay servicio .",3
"lo único a mejorar en nuestra opinión sería que el niño para ser gratis debe compartir cama y las camas no son tan grandes como en otros hoteles de playa hoteles , ya que eran de 1,05 .",3
los únicos peros son la televisión no es de pantalla plana y el suelo de mármol se hace frío sí vas descalzo .,3
lo barato sale caro,3
"tambien mas caro , ojo .",3
una estafa,3
"por último la wifi funcionaba un poco regular y el mismo usuario , que teóricamente duraba 24 horas , en cuanto te desconectabas perdías el acceso y no podías volver a reutilizarlo ( una vez más , había que hablar con recepción ) .",3
"lo único el zumo no era natural , cosa que en cafetería si lo fue .",3
"en concreto , la selección del tipo de habitación ( cama , conexión wifi ) no es posible .",3
no esperes gran cosa,3
"reservamos por mail una habitación con posibilidad de exterior , al final nos dieron una en el último piso , muy pequeña , aunque dentro de los standares de amsterdam , sin armario y tan sólo con una tv .",3
no vayais !,3
"la segunda mañana me desperte con picaduras de insectos , me queje pero no hicieron nada .",3
llegando a la madrugada no hubo indicacion concreta ni acompanamiento de personal para poder encontrar rapidamente las habitaciones en semejante complejo desconocido para los huespedes .,3
esta vez nos dieron una habitación ( 608 ) un poco deteriorada ( la pared de la habitación necesitaba una mano de pintura porque estaba llena de manchas · patadas ... el cabecero de la cama y la puerta de la nevera como un mapa mundi .... manchas arañazos ) .,3
"habíamos alquilado una suite pensando pasarlo bién por la noche en el saloncito por lo menos , porque el hotel era más una pension que un hotel .",3
la atencion un desastre,3
peor trato imposible,3
"el servicio de habitaciones , limpieza , etc ... pésimo .",3
"la distancia a la playa son 8 km , no es un hotel de playa , hay que hacer los desplazamientos en coche ( desconozco si había facilidad de transporte público en las cercanías , aunque vimos bastante afluencia de autobuses ) .",3
el personal deberia ir a clases de civismo,3
recordar cadena be live nooo !,3
no se corresponde a un hotel de 5 estrellas .,3
me robaron el móvil en el bungalow,3
el hotel no está mal para ser un 2 * .,3
podría ser mejor,3
llegamos un fin de semana de julio ( curiosamente el más caluroso de los que habían habido en viena ) y el aire acondicionado no funcionaba .,3
"en agosto y septiembre los fines de semana llegan 3000 ......... "" personas "" que dejan que desear ( mejor no comento ) destroyers en general",3
mala estancia,3
muy caros los productos del bar de la habitación .,3
yo no volvere a esta cadena de hoteles .,3
"les conteste mi teléfono mvl me responden aquí no hay ningún teléfono mvl ... dice una de ellas cuando llegamos la puerta estaba abierta ... a todo esto les puse una reclamación y la correspondiente denuncia policial , la directora del hotel quedo en llamarme al día siguiente ha pasado una semana y no he recibido ninguna llamada no recomiendo este hotel creo que les sobran esas 4 estrellas .",3
"en una palabra , lamentable .",3
un poco viejo en las zonas comunes,3
a veces no limpiaron la habitación por que no teníamos en claro el horario de limpieza .,3
"pero a partir de aqui , todo lo demas era normalito",3
"a primera hora de la mañana la habitación puede estar un poco "" fresca "" .",3
laberíntico,3
"hotel antiguo , desayuno malo , limpieza mal",3
"el fallo gordisimo es el personal del hotel : los recepcionistas no se ponian de acuerdo y te discutian ( tocate las narices ) sobre lo que el del anterior te habia comentado , el encargado del buffet es 1 autentico ......... por no decir otra cosa + grave que se la merece ( maleducado , impaciente , grosero e impertinente ) y como no recuerdo muy mucho a las señoritas de la limpieza que como autenticas verduleras se ponen a gritar ( si , a gritar ) sobre las 7 · 8 de la mañana sobre cuchilleos y de + menesteres",3
"no me gustó la cama , demasiado dura , de muelles , deberían ponerle algo de viscolastica para descansar mejor , tengo una hernia discal y la cama me hizo despertar todos los días con dolor en la espalda y el cuello .",3
el gran problema de este hotel es la restauración : el servicio de habitaciones es muy lento y no sirven lo que se les ha pedido (,3
"las personas que lo regentan , bordes y poco atentos .",3
este hotel necesita mejorar mucho,3
y halcon y travelplan mucho menos .,3
estancia muy olvidable : ruido y luz,3
nada que ver con otros resorts de la zona .........,3
¡ y discuten !,3
este hotel era la gran desilusión de nuestro viaje,3
"cobraban por todo ( aire acondicionado , wifi ) .",3
no cumplen con el precio mínimo oferta .,3
es un tipo de hotel que estuvo de moda hace 40 años y que por su enorme tamaño hace que el huesped no tenga una sensacion acogedora .,3
hotel normalito,3
hotel de pésima calidad,3
lo mismo con las sombrillas en la playa .,3
tipo de clientela entre regular y mal .,3
"la espera para entrar a cenar , siendo un 8 de diciembre , mal , se armó muchísima cola siendo las 20:30 h y tuvimos que esperar un buen rato para poder entrar .",3
el único pero son las comidas .,3
"los restaurantes temáticos son un desastre , y has de perder horas para reservar .",3
"este camping carece de las medidas de seguridad apropiadas , nos robaron una bici y encima casi te sentias culpable por parte de la recpecion.no llamaron a la guardia civil y fuimos nosotros hasta el pueblo para poner la denuncia .",3
"fines de semana agosto y septiembre , muy mal",3
las habitaciones son muy inferiores a un hotel de esta categoría y tienen muchos desperfectos .,3
estuvimos dos días sin agua caliente y el personal del hotel no hizo nada para apaciguarnos y ni tuvo ningún detalle .,3
"el desayuno nos pareció caro , entonces como recomendación mejor salir a descubrir los bares alrededor y gastar lo mismo en comida típica madrilena .",3
escaleras estrechas y con más pendiente que el himalaya .,3
el desayuno también se sirve durante escaso tiempo : de 6 a 9:30,3
bastante sencillito .,3
"la habitación enana , con el lavabo y la ducha en la misma habitación o _ o. por supuesto , un váter para todo el hotel , lo cual ya merecería que se quitara lo de "" hotel "" a este cuchitril .",3
no te cambian ni el mantel .,3
hotel en mal estado en las instalaciones y rooms .,3
"no vayan , decameron de panamá ya no es bueno",3
nos estafaron con la oferta,3
"no hay ascensor , qué creíais .",3
es la feria,3
"está en una zona muy alejada del centro de barcelona , las conexiones con el metro también están muy lejanas , y en la zona no hay absoultamente nada para la recreación .",3
hola fuimos con una reserva de 5 dias con pensión completa ( pagado por anticipado ) y al cuarto nos fuimos ya no aguantamos más .,3
"hay muchos hoteles alrededor no escojais este , yo no me crei los comentarios y se quedan cortos. malo malisimo",3
el baño de la habitación muy anticuado para ser un hotel de cuatro estrellas y sin bidet .,3
hotel sucio,3
en este sentido deja mucho que desear .,3
no le recomiendo este hotel a nadie para ir con familia o amigos .,3
"el hotel me decepciono bastante para lo que es la cadena y el resto de hoteles que tiene , por lo menos los de la playa .",3
la decoracion tipica de un ibis .,3
no me gustó que el wifi en las habitaciones sea de pago y los desayunos son muy caros .,3
"hotel ' macro ' con dos edificiones en cada lado de la calle , con un uso muy marcado por los clientes de negocios hace que la relación con el cliente carezca del nivel de personalización que se esperaría en un lugar de esa categoría .",3
"por eso , quizás sea un poco caro en relación a las comodidades de la habitación ( 96 euros / noche ) .",3
tienen problemas serios de aseo en lugares como los baños que están en los bares cercar de la playa .,3
"las camas son duras e incomodas , la limpieza de la habitación da mucho que desear , salpicaduras en la pared , pelos en la mesilla y la cama ... la television satelite de chiste , se debio caer el satelite digo yo , solo se veian 3 canales y con mas arena de la que habia en la playa .",3
"regular , podría mejorar .",3
decepcionante,3
"la comida y cena , para ser un hotel de 4 estrellas era escasa y habia poco donde elegir , dos primeros , dos segundos y dos postres , un poco mas de amplitud de menu donde elegir no vendria nada mal sinceramente .",3
el hotel esta totalmente desfasado en cuanto a mobiliario y instalaciones.el aire acondicionado ( solo hay en alguna habitacion ) metia mucho ruido .,3
"cuando llegamos la puerta no funcionaba , conseguimos entrar , y se pusieron a arreglarla a la hora de la siesta .",3
el personal desagradable,3
la animación mala .,3
se rompió el mando del grifo y aún estamos esperando a que vengan a arreglarlo .,3
aunque la animación ha perdido un poco .... antes era un hotel mucho mas divertido .,3
"lo peor fue el desayuno , ya que al llegar todas las mesas estaban ocupadas o sucias , tardaron en darnos una en condiciones y la impresión general es que todo era caótico .",3
muy descontento con la piscina y zona solarium,3
la comida normalita .,3
"la comida es bastante básica , los restaurants temáticos no son lo que uno imagina , son muy estructurados respecto a las mesas y no entienden el idioma , lo cual suele ser algo molesto .",3
el desayuno bastante flojo .,3
viajamos en el mes de mayo con una temperatura nocturna entre 2 y 7 grados y aun siendo por dos días los unicos clientes del hotel se nos negó poner la calefacción .,3
"poca limpieza , ruidoso .",3
unico punto negativo el ruido que las ventanas de madera tan típicas de la zona no consiguen aislar totalmente,3
una experiencia · pero no creo que regrese,3
eramos tres en una habitación y la verdad es que se quedaba bastante pequeña .,3
"queríamos ver la final de "" let ' s dance "" en la tele , pero esta parecía tener más años que el hotel y era diminuta y se veía fatal .",3
"lo único su elevado precio , pero siendo el ritz ya sabes a lo que vas .",3
nada del otro mundo .,3
"en la semana que estuvimos sólo nos cambiaron las sábanas una sola vez , pese a ver todo el día al personal de limpieza dando vueltas .",3
"lo peor me parecio el desayuno : bolleria de pesima calidad , productos de calidad baja en general y con poca variedad , supervisor de mozos muy molesto y mozos muy desatentos .",3
lamentable .. deja mucho que desear los servicios prestados con las estrellas que tienen .,3
"a mi la bicicleta y entraron en la autocarabana por la noche y dinero , tarjetas , etc .... la respuesta del camping fue nula , no estuvieron presentes cuando vino la policia , no se interesaron en ningun momento por las cosas robadas ni mucho menos por los miembros de ninguna de las familias afectadas , respuestas como no podemos hacer nada , a mi tambien me robaron la bicicleta , etc .... no es lo que quieres oir en estas situaciones .",3
mal para aparcar en las inmediaciones .,3
"el buffet libre que tenia era bastante probre , como minimo el del desayuno , que es el que hicimos .",3
deja mucho que desear para sus estrellas,3
mal comunicado con el centro .,3
"las escaleras de la recepción son imposibles para personas mayores o con movilidad reducida , digamos que son las típicas escaleras de holanda : estrechas e inclinadas .",3
la piscina necesitaba pintura y mychos restaurantes cerrados por días .,3
el desayuno es bastante pobre .,3
a nosotros nos cobraron de mas del precio acordado.y sobre todo en la habitaciones hay pulgas .,3
yo he estado 3 veces y esta última fue la peor .,3
la pega que tiene es que no ponen nada para limpiar la cocina ni fregar los platos .,3
esperaba más de marriott,3
"las paredes de papel , se oía todo .",3
las puertas estaban podridas en su parte inferior .,3
el wifi tampoco funciona bien,3
no cumplen las espectativas que anuncian,3
"las camas malísimas , se movían y hacían mucho ruido , colchones muy malos y las almohadas tan finas como el papel .",3
"es un hotel pequeño a precio de los grandes complejos hoteleros de la riviera maya como el iberostar , bahia principe , barcelo , grand palladium , etc , que son muy superiores y mucho mejores que el dreams",3
además el entorno no es el mas adecuado para salir de noche .,3
y tampoco deben olvidar las máscaras para tapar los ojos ya que las persianas no cierran debido al gran aire acondicionado que hay en el balcón .,3
a un bajo precio no se puede esperar milagros y no era gran cosa .,3
la ducha .. sin comentarios ... no te podías ni agachar porque era enana .,3
la ocupación era bajisima .,3
le sobran estrellas al hote .,3
"incapacidad de los gestores para solventar el problema , una verdader tortura de puente .",3
robos en las habitaciones del hotel,3
"es evidente la falta de mantenimiento ( corrosión , chapas dañadas ) y el escaso aseo que hacen durante el día , el olor es espantoso .",3
"mantenimiento deficiente , habitaciones con todo tipo de desperfectos , reclamaciones no solucionadas ni respondidas .",3
"sucio , desagradable y lleno de chinches",3
algunas comidas son muy picantes y tendrían que tener un cartelito para que los que no estamos acostumbrados no las comamos .,3
antiguo como roma !,3
nos robaron a 5 campistas .,3
"el quijote , el peor .",3
recepción debajo de la escalera .,3
"es un hotel pequeño , sin grandes lujos y con un servicio senzillo .",3
peor de lo que ofrecen,3
el wifi no llega a las habitaciones .,3
no lo recomendaría para pasar unas vacaciones en pareja o en familia .,3
inútil reclamar .,3
"solo tienen un enchufe en la habitacion , alejadode la cama , y otro en el aseo .",3
no estoy conforme completamente .,3
"el ascensor para entre dos plantas , por lo que tienes que bajar o subir por las escaleras para llegar a la habitacion .",3
de lo único que podría quejarme es de que el baño estaba tan tan perfumado que me dolió la cabeza ...,3
estancia decepcionante,3
"el personal de limpieza compartía el mismo ascensor que nosotros , por lo que subir y bajar de las habitaciones antes y después del desayuno , se convertía en una tarea muy compleja .",3
"se nota algo de falta de mantenimiento , sobre todo en el spá y en los jacuzzi de la terraza .",3
para no repetir,3
"por poner un "" pero "" , resaltaría el pequeño caos que se forma en el comedor ya que lo han cambiado de sitio y ahora es muy pequeño .",3
"lo malo la ducha , sin plato .",3
"otra cosa son los desayunos , a los que si bajas 20 mins después de que se sirva no te queda ni leche !!",3
"no apto para personas con mobilidad reducida , ya que tiene unas escaleras estrechisimas .",3
en el comedor se tardaba bastante en limpiar los restos de los demás huéspedes porque apenas había personal a cargo por allí .,3
"fue un fin de semana de promocion , aunque despues de la estacia , creo que aunque se diga que es un hotel de cuatro estrellas , no es de los mas significativos de esta categoria .",3
no habia mucho por escoger y de lo que habia no habia suficiente para todos las personas hospedadas en el hotel .,3
desfavorable,3
"el único inconveniente es su situación , aunque , la verdad , tampoco es algo que le reste muchos puntos .",3
hotel bastante simple .,3
"el día de nuestra llegada nos quejamos a recepción para que al menos instalarán un punto de agua , pero buenas palabras pero pocos hechos .",3
escasa seguridad,3
me ha decepcionado,3
hotel en estado lamentable .,3
ni os acerquéis,3
"creo que la capacidad del restaurante es muy pequeña y si a 8 de diciembre ( que tampoco había tanta gente ) está así , no me quiero ni imaginar como estaría en pleno verano ..",3
el camping pola es un lugar para no repetir .,3
un poco decepcionante,3
"sin embargo , no hay que esperar lujos .",3
lo peor de todo que no tiene garaje propio y el parking aunque tiene precio especial sale un poco caro para 3 días .,3
"problemas con el estado de la cama desde el primer dia , la impieza de la habitación inexistente , el trato recibido por algunos camareros pesimo negandose a sacar las bebidas a las mesas , las comidas pesimas y apenas sin variedad , el personal de recepción sin ningún interes en atender al cliente y del tema aparcamiento .. inexistente en la zona y el del hotel abusando cobrando 9 € diarios ......",3
"siendo la tercera vez que había ido , no me encontraban en la base de datos .",3
"el servicio es patetico , nos pasamos una semana comiendo lo mismo , los camareros están salidisimos , todo el mundo quiere sacarte la pasta , en los restaurantes temáticos nos fué imposible reservar ningún día , en la playa y la piscina imposible coger hamacas , y fumigaban una sola vez por semana por lo tanto todos hasta arriba de picaduras ..............",3
"a parte de eso el trato es poco amable y la limpieza , bueno , te hacen limpiar las duchas con un agua sucia y llena de pelos , y eso pagando que si no pagas ...... no se que habria q hacer .",3
los precios muy caros como siempre .,3
las zonas recomendables están a 350 m. de la playa,3
la zona en la que estaba situada era mala para andar por la noche .,3
se comía mucho mejor en doña pepica que está a 100 metros que en propio hotel y el alardeo de su buffet libre .,3
la dirección del hotel no da la cara .,3
la directora es muy estúpida y muy poco servicial .,3
peor que una pensión de las malas .,3
"el bano reducido , lo justo para ducharse .",3
sin lujos .,3
pasamos un frío enorme .,3
hotel de paso,3
"si buscas un hotel para hacer actividades a través de él , o para ver cena con espectáculos , o quedarte todo el día dentro ... no es tu hotel , porque no tiene ese tipo de instalaciones .",3
"la "" categoria "" del camping se ha de reflejar en estos casos y francamente nos defraudaron .",3
a la llegada se nos atendió mal .,3
las habitaciones eran viejas y muy calurosas .,3
solo un poco riudoso por la noche dado que se encuentra muy céntrico y siempre hay gente por la calle .,3
"no hay armario solo una estantería con unas perchas , no intentes deshacer las maletas .",3
el peor hotel de punta cana !,3
en general muy escaso para las 4 estrellas que dice tener,3
"de hecho , ni te suben las maletas a la habitación cuando haces el check · in .",3
"el personal del desayuno era un tanto maleducado , siempre esperando que no estuvieras mucho tiempo .",3
lo peor del caso fue la actitud del personal del hotel .,3
básica pensión,3
las comodidades de las habitaciones y hotel desastrosas .,3
"el entorno no tiene nada para destacar , al igual que el hotel .",3
por el precio hay muchos mejores en la riviera,3
como punto negativo decir que la nos asignaron una habitación en un piso bajo y se escuchaba toda la noche el aire de los aparatos de aire acondicionado del lobby .,3
errores continuos desde la entrada hasta la salida .,3
"no había ni un salon estar para los clientes , ni tampoco restaurantes o bares en los alrededores .",3
"el wifi no es de buena calidad , apenas llega a la habitación .",3
la limpieza de la habitación normalita .,3
organización caótica .,3
"lo malo , que se han querido subir mucho "" a la parra "" y ahora los precios son de hotel de 4 o 5 estrellas que no son ...",3
"el desayuno podría ser mejor , principalmente el pan .",3
"que personal mas mal educado , poco servicial y orientado al cliente extrajero , parece que todos estamos obligados a entenderlos a ellos.aparte con lo cariiiiiisimo que es ni querías un cepillo de dientes o cualquier otra aminity tenías una máquina expendedora .... que no funcionaba sin libras lógicamente.unís bordes , carísimo y mal situado",3
insufrible .,3
"la playa llena de algas , el servicio del hotel fatal en todos los aspectos , no limpian las habitaciones ni cambian las sabanas y tampoco dejan toallas , estuvimos 3dias sin agua caliente , a las 12 de la noche se quedan sin alcohol , increible el servicio de un todo incluido de 4 * sup !!!",3
"pero hay q tener en cuenta que para poder dormir hay que llevar tapones de oído ( o mejor ser sordo directamente ) ya que muchas habitaciones , entre ellas la mía , dan a la rambla donde hay micho movimiento hasta por lo menos las tres de la mañana .",3
imposible descansar .,3
algo a observar es que el hotel debería contar con personal que organicen el uso de las reposeras sino la gente reserva con sus toallas los lugares y no permiten que alguien las utilicé en los momentos libres .,3
en general muy bueno y el barrio donde esta situado es un barrio amable sencillo y de buenas costumbres .,0
yo se lo recomiento a todo aquel que quiera ir a conocer sevilla .,0
"es un camping encantador , muy natural y autentico .",0
muy céntrico,0
el desayuno es de buffet y es espectacular .,0
"el spa muy agradable y bastante grande , no usamos la piscina por fechas pero estaba abierta , tambien tiene gimnasio y zona de masajes .",0
"a mi familia y a mí nos encanta la ciudad de madrid , el poder salir de compras , de tapas , a ver un espectáculo , y la situación de este hotel es ideal para poder moverte por el centro de madrid sin tener que coger el coche pues todo te pilla a mano , con lo que siempre que podemos planear una escapada familiar de fin de semana no dudamos , nuestra elección es clara : ¡ ¡ nos vamos al senator gran via 21 ¡ ¡ .",0
aunque la verdad estuvo bastnte bien .,0
los empleados son en su mayoría bilingües lo que hace que la enstancia en el hotel sea mas que practica .,0
"hotel cercano a la estación del ave , en media hora andando estás en el parque de maria luisa / plaza de españa o la catedral .",0
"mi estancia en el hotel praga fue bastante satisfactoria , estuve con mi pareja y pudimos disfrutar de la ciudad de madrid y descansar en el hotel .",0
recomiendo el hotel para parejas,0
el personal es amable .,0
sin lugar a dudas es algo para repetir,0
la atención fue correcta y la habitación acojedora,0
los menus del bar · restaurante son muy buenos y estan muy bien de precio .,0
nos ha encantado y volveremos,0
esta es una de las mejores vacasiones que ice ademas esta super bien y ni hay nada de malo .,0
el desayuno muy bueno .,0
le daría 5 de 5 estrellas .,0
ideal para ver al barça,0
"la habitación era muy limpia y amplia , con cama king articulada , y una supletoria bastante cómoda , con nevera y agua de cortesía .",0
"la casa es un antiguo molino reformado , rodeado de vegetación y apartado de cualquier ruido en plena naturaleza .",0
por cierto comodisima .,0
las instalaciones están muy bien y las vistas son geniales .,0
excelente calidad · precio perfecta .,0
tienen mui buen trato con los clientes y te atienden bien. las habitaciones no estan mal y se duerme bien .,0
"creo que de todos los hoteles en los que he estado , sin duda , este desayuno el mejor .",0
muy buen hotel en el centro de madrid,0
perfecto para reiniciarse,0
la situación es excelente y las comunicaciones muy buenas .,0
"el hotel es de 5 estrellas , y la verdad es que se las merece .",0
un hotel de ciudad acogedor y muy bien situado .,0
es un hotel muy relajante sobre todo si vas al spa que es muy grande y la decoración espectacular .,0
"acudimos al spa , cortesía del hotel , y disfrutamos de una mañana agradable , después de una larga jornada pateando barcelona .",0
"personal muy agradable , y buen desayuno .",0
"como detalle mio personal , me enloquecen los desayunos del hotel , hacen los croissants mas tiernos y ricos que he probado .",0
excelente hotel con servicio y calidad sofitel .,0
"muy tranquilo , se respeta el silencio fuera de horarios de animación .",0
el armario es grande y dispone de caja fuerte gratuita y plancha .,0
"la habitacion perfectamente insonorizada , con minibar gratuito ( sin alcohol ) , tv plana , plancha ...",0
nos encantó,0
"todo correcto tal y como esperabamos , gran variedad de restaurantes tematicos y comodidad para desplazarte por todo el hotel , limpieza y mantenimiento adecuado .",0
muy amable el personal y perfecto el desayuno buffet con mucha variedad .,0
muy recomendable,0
"excelente aire acondicionado , en la calle a 40 grados y para dormir necesitamos colcha , la temperatura la regulan desde recepción individualmente para cada habitación , buen personal y puedes dejar el equipaje en consigna si quieres quedarte hasta más tarde , luego lo pasas a recoger y sigues viaje o te vuelves a casita .",0
buen hotel y gran ciudad,0
si quieres un hotel en pleno centro de madrid pero a su vez que te absorba la tranquilidad y el relax de su spa ...,0
confortable hotel en barcelona,0
"la estancia en el hotel fue muy buena , la atención , limpieza , en realidad te hacen sentir muy bien y se preocupan que estes tranquilo siempre .",0
es clásico y bien conservado .,0
"la primavera es espectacular , ideal para el senderismo , paseos por la finca y la zona ( por ejemplo : el precioso jardín de lirios ) .",0
"hay un bingo donde se puede cenar barato , un mcdonald ' s y una especie de mercadillo también bastante cercanos .",0
un excelente b &amp; amp ; b. el desayuno estupendo de calidad y cantidad .,0
en plena gran via !,0
"el hotel es de 3 estrellas , las habitaciones son limpias , espaciosas y silenciosas .",0
"zona tranquila y bien comunicado , muchos servicios y comodidades , el trato personal excelente , habitaciones confortables con wifi , minibar gratuito , cafetera etc ...",0
"aunque en florencia todo está accesible a pie he de decir que este hotel se encuentra bien ubicado , cerca de la estación de tren y cerca de todas las atracciones turísticas .",0
"realmente , nos hemos quedados fascinados , un lujo total .",0
muy adecuado para descansar .,0
las afueras del hotel son unas vistas muy buenas a la playa .,0
"super recomendable , excelente !",0
un complejo para nada masificado en el que el servicio es de lo mejor .,0
nos pusieron cama supletoria junto a la cama grande .,0
buen servicio y buena situación,0
localización tranquila pero en menos de 10 miutos andando te pones en el duomo .,0
"fue solo para un fin de semana y una noche , pero el resultado en lo que respecta a este hotel fue magnifico , básicamente por el trato super amable y profesional del personal .",0
"la habitación que nos dieron es amplísima , disponía de un pequeño saloncito , tenía unas excelentes vistas a la gran vía y está perfectamente insonorizado .",0
volvería !,0
"la situación del hotel es fuera de nucleos urbanos , ello hace que la naturaleza tenga su máximo valor .",0
"ha sido magnífico poder dormir fresquitos en pleno agosto , y descubrir un oasis de tranquilidad en el centro de catalunya .",0
el servicio es bastante bueno ya que se preocupan de que tu estancia sea agradable .,0
un hótel bonito y tranquilo con un servicio muy amable .,0
"todo está muy , pero que muy cuidado , desde sus instalaciones , hasta su ubicación .",0
un lugar de excelencia para nuestras vacaciones !,0
gran ubicacion perfecto,0
estaba animado con ambientillo esquiador pero sin agobios .,0
fantástico,0
"la infraestructura simplemente es bellisima , pareciera que estuvieras dentro de un pequeño y hermoso pueblo , cuenta con una plazuela en la que a partir de las 6 de la tarde se llena de vida con sus shows de musica variada y shows nocturnos como obras de teatro .",0
"como conclusión , es un buen hotel para visitar madrid .",0
el hotel nh eurobuilding es un de los grandes hoteles clásicos de madrid .,0
"ademas para los niños es muy buen sitio , un servicio para ellos increible .",0
el trato personal es muy bueno y el hotel goza de habitaciones amplias y confortables .,0
excelente relación calidad · precio,0
el hotel es muy recomendable .,0
calidad a buen precio,0
"reverve el hotel palladium punta cana y no me arrepiento , he pasado unas vacaciones estupendas , el personal de recepcion es muy prfesional , me atendieron muy bien , la comida del los restaurantes es muy buena , la animacion entretenida , los chicos de los bares son muy alegres .",0
"tiene todo lo necesario y sobretodo , lo que mas nos interesa : accesos excelentes al centro de calella de palafrugell y a la playa a pie .",0
viajamos una semana en familia ( niños de 3 y 5 años ) fueron vacaciones para descansar y disfrutar .,0
"muy buen hotel , completamente recomendable .",0
nuestra decision al elegir este hotel fue acertada. sin duda repetiremos. aconsejo probar el spa. a nosotros nos parecio super · relajante despues de un dia de visita a la ciudad. tambien aconsejo solicitar todo lo que se necesite. lo suben al momento. tanto el personal de limpieza como el de recepcion muy atentos y serviciales. tiene en el miinibar 4 aguas y 2 pepsis gratuitas y tambien un calentador de agua y cafes e infusiones .,0
las habitaciones tienen camas muy cómodas y el baño es muy espacioso .,0
"en resumen , un acierto la estancia en este hotel , una excelente base de operaciones para visitar barcelona en navidad ( o el resto del año ) y de paso ver al barça , si te gusta el futbol .",0
sobretodo por la sorpresa del spa .,0
"por el precio de la habitación es justo el servicio recibido , ya que el hospedaje en amsterdam es en general bastante caro en comparación a otras ciudades europeas .",0
"en pocas palabras , ha sido como vivir un sueño !!",0
los shows entretienen a la familia al final del día .,0
hotel con precios muy competitivos relación calidad / precio .,0
hotel centrico y bien de precio .,0
pero era una habitación cómoda y descansamos bien,0
"creo que para los que vamos periódicamente por trabajo tener de referencia a este hotel en barcelona nos va genial porque ya lo dice el refrán , "" más vale malo conocido que bueno por conocer "" pero en este caso de malo nada de nada .",0
el servicio esta muy completo y estoy muy contento con las instalaciones .,0
una estancia perfecta,0
"el hotel se merece las estrellas que tiene , la limpieza , la amplitud y la comodidad de las habitaciones son destacables .",0
el hotel no colapsa siempre tenes un excelente servicio .,0
"los desayunos son bastante variados y las habitaciones son amplias y cómodas , a mí me gustó .",0
lo recomiendo,0
no se puede pedir más .,0
"es apto para bebes , ya que cuenta con un cuarto con todos los servicios que se pueden necesitar .",0
"muchos del personal de recepción como el del restaurante hablan español , son muy amables y siempre dispuestos a ayudarte a la hora de dar consejos sobre la estancia en munich .",0
lo mejor de este hotel es la ubicación .,0
